FID,geom,efetivacao,id,tipo,latitude,longitude,elevacao,vfr,ifr,timezone,privado,nome,uf
AIRPORT21JUL16.2106,MULTIPOINT ((-55.696332121215775 -12.497869126903186)),2015-04-30,SJSS,AD,-12.49861,-55.69611,385,N,N,D,YES,SORRISO / Agrifor,MT
AIRPORT21JUL16.2107,MULTIPOINT ((-35.98958250753923 -7.177465041873251)),2015-03-05,SNKB,AD,-7.17833,-35.99028,693,N,N,C,YES,CAMPINA GRANDE / Aeroclube de Campina Grande,PB
AIRPORT21JUL16.2108,MULTIPOINT ((-49.911332188408366 -22.97314733834588)),2015-03-05,SDOU,AD,-22.97361,-49.91139,467,Y,N,C,NO,OURINHOS / Aeroporto Estadual de Ourinhos,SP
AIRPORT21JUL16.2109,MULTIPOINT ((-53.559014708247666 -21.78200054671294)),2015-04-02,SSJW,AD,-21.7825,-53.55889,310,N,N,D,YES,NOVA ANDRADINA / Faz. Jauru,MS
AIRPORT21JUL16.2110,MULTIPOINT ((-46.68144656162355 -23.58621835469704)),2015-12-10,SDVR,HP,-23.58667,-46.68167,820,N,,C,YES,SÃO PAULO / HELPN Pátio Victor Malzoni,SP
AIRPORT21JUL16.2111,MULTIPOINT ((-51.09166933935028 -20.531132506717906)),2015-12-10,SIXA,AD,-20.53167,-51.09167,426,N,,C,YES,SUZANÁPOLIS / Faz. União Suzanápolis,SP
AIRPORT21JUL16.2112,MULTIPOINT ((-44.91775633187472 -18.85163684394796)),2015-12-10,SSQL,AD,-18.85222,-44.91806,642,N,,C,YES,FELIXLÂNDIA / Faz. La Poveda,MG
AIRPORT21JUL16.2113,MULTIPOINT ((-42.841811796197646 -22.71229594620726)),2015-12-10,SDUR,AD,-22.71278,-42.84222,16,N,,C,YES,ITABORAÍ / Itaboraí,RJ
AIRPORT21JUL16.2114,MULTIPOINT ((-44.324669998672874 -19.803606024558714)),2015-12-10,SWAF,HP,-19.80417,-44.325,792,Y,,C,YES,ESMERALDAS / HELPN Faz. Água Fria,MG
AIRPORT21JUL16.2115,MULTIPOINT ((-44.304114201233716 -19.429706921847718)),2015-12-10,SDJR,AD,-19.43028,-44.30444,804,N,,C,YES,SETE LAGOAS / JN Resort,MG
AIRPORT21JUL16.2116,MULTIPOINT ((-45.9086305566389 -23.213428263429144)),2016-05-26,SJWM,HP,-23.21389,-45.90889,708,Y,N,C,YES,SÃO JOSÉ DOS CAMPOS / HELPN Pátio das Américas,SP
AIRPORT21JUL16.2117,MULTIPOINT ((-55.31576399441457 -18.07884097215688)),2016-05-26,SINF,AD,-18.07944,-55.31556,168,N,,D,YES,CORUMBÁ / Faz. Ouro Verde,MS
AIRPORT21JUL16.2118,MULTIPOINT ((-40.23366666832722 -5.0482626424093064)),2016-05-26,SIUH,AD,-5.04917,-40.23417,400,N,N,C,YES,TAMBORIL / Faz. Flores,CE
AIRPORT21JUL16.2119,MULTIPOINT ((-49.23574612290316 -16.708807104392996)),2016-05-26,SIHF,HP,-16.70944,-49.23583,834,Y,N,C,YES,GOIÂNIA / HELPN Flamboyant II,GO
AIRPORT21JUL16.2120,MULTIPOINT ((-38.44191926773973 -3.8440723325409922)),2016-05-26,SDKN,HP,-3.845,-38.4425,19,Y,N,C,YES,EUSÉBIO / HELPN Chopper Solution,CE
AIRPORT21JUL16.2121,MULTIPOINT ((-38.246896830337924 -12.808141365127737)),2016-05-26,SJUK,AD,-12.80889,-38.2475,22,N,N,E,YES,CAMAÇARI / Jauá,BA
AIRPORT21JUL16.2122,MULTIPOINT ((-48.79405482189673 -21.623107275249712)),2016-07-21,SIHY,AD,-21.62361,-48.79417,523,N,N,C,YES,ITÁPOLIS / Tom Aviação Agrícola LTDA,SP
AIRPORT21JUL16.2123,MULTIPOINT ((-35.54094719018651 -9.374451632796779)),2016-07-21,SIQX,AD,-9.37528,-35.54167,50,N,N,C,YES,BARRA DE SANTO ANTÔNIO / Faz. São Braz,AL
AIRPORT21JUL16.2124,MULTIPOINT ((-46.689502512242576 -23.592607446832872)),2016-05-26,SJEB,HP,-23.59306,-46.68972,757,Y,,C,YES,SÃO PAULO / HELPN Millennium Office Park,SP
AIRPORT21JUL16.2125,MULTIPOINT ((-38.48942148772193 -3.7462928125619053)),2016-05-26,SWKZ,HP,-3.74722,-38.49,100,Y,N,C,YES,FORTALEZA / HELPN Central Park Business,CE
AIRPORT21JUL16.2126,MULTIPOINT ((-69.69557337465396 -2.9326631548135405)),2016-07-21,SWII,AD,-2.93361,-69.69472,40,N,N,D,NO,SANTO ANTÔNIO DO IÇÁ / lpiranga,AM
AIRPORT21JUL16.2127,MULTIPOINT ((-37.3610358479183 -5.194929515427676)),2016-07-21,SBMS,AD,-5.19583,-37.36167,23,N,Y,C,NO,MOSSORÓ / Dix-Sept Rosado,RN
AIRPORT21JUL16.2128,MULTIPOINT ((-49.07490166774263 -22.324238913888024)),2016-07-21,SISI,HP,-22.32472,-49.075,551,Y,,C,YES,BAURU / HELPN Monte Sinai IV,SP
AIRPORT21JUL16.2129,MULTIPOINT ((-35.01231463867027 -8.127481648211722)),2016-07-21,SWZU,HP,-8.12833,-35.01306,91,Y,N,C,YES,JABOATÃO DOS GUARARAPES / HELPN Cepasa,PE
AIRPORT21JUL16.2130,MULTIPOINT ((-56.23970413777281 -21.99311461705091)),2016-07-21,SSSA,AD,-21.99361,-56.23944,319,N,N,D,YES,BELA VISTA / Faz. Sant?Anna do Apa,MS
AIRPORT21JUL16.2131,MULTIPOINT ((-50.86804708063772 -21.910616337442764)),2016-07-21,SDUU,AD,-21.91111,-50.86806,450,N,N,C,YES,PARAPUÃ / Usina Califórnia,SP
AIRPORT21JUL16.2132,MULTIPOINT ((-46.85534621479066 -22.295902648053588)),2016-07-21,SDAK,HP,-22.29639,-46.85556,733,N,,C,YES,MOGI GUAÇU / HELPN Solar das Paineiras,SP
AIRPORT21JUL16.2133,MULTIPOINT ((-46.69450289628064 -23.513160626678086)),2016-07-21,SDUI,HP,-23.51361,-46.69472,762,Y,N,C,YES,SÃO PAULO / HELPN Centro Empresarial Iudice,SP
AIRPORT21JUL16.2134,MULTIPOINT ((-47.71900066474001 -22.156177352834504)),2016-05-26,SDAF,AD,-22.15667,-47.71917,854,Y,N,C,YES,ANALÂNDIA  / Faz. Palmeiras,SP
AIRPORT21JUL16.2135,MULTIPOINT ((-59.50096261344489 -16.16628551478101)),2016-05-26,SWFU,AD,-16.16694,-59.50056,264,N,N,D,YES,VILA BELA DA SANTÍSSIMA TRINDADE / Fortuna,MT
AIRPORT21JUL16.2136,MULTIPOINT ((-56.91112510320572 -21.330316741135842)),2016-05-26,SDGJ,AD,-21.33083,-56.91083,296,N,,D,YES,PORTO MURTINHO / Faz. São José,MS
AIRPORT21JUL16.2137,MULTIPOINT ((-51.116114889025326 -15.737393899694986)),2016-05-26,SDBP,AD,-15.73806,-51.11611,412,N,,C,YES,SANTA FÉ DE GOIÁS / Faz. Pontal,GO
AIRPORT21JUL16.2138,MULTIPOINT ((-53.46678271359392 -14.011795254862784)),2016-05-26,SDGP,AD,-14.0125,-53.46667,466,N,,D,YES,PARANATINGA / Faz. Gaivota,MT
AIRPORT21JUL16.2139,MULTIPOINT ((-43.95020713402097 -19.85138439598328)),2016-07-21,SBBH,AD,-19.85194,-43.95056,789,Y,Y,C,PUB/MIL,BELO HORIZONTE / Pampulha - Carlos Drummond de Andrade,MG
AIRPORT21JUL16.2140,MULTIPOINT ((-47.92040064549877 -21.201150057569638)),2016-07-21,SDUL,AD,-21.20167,-47.92056,692,N,N,C,YES,RIBEIRÃO PRETO / Usina Santa Lydia,SP
AIRPORT21JUL16.2141,MULTIPOINT ((-56.45970691935788 -17.005200523809233)),2016-07-21,SJHZ,AD,-17.00583,-56.45944,117,N,N,D,YES,BARÃO DE MELGAÇO / Arara Azul,MT
AIRPORT21JUL16.2142,MULTIPOINT ((-58.64535793274694 -10.682269683562486)),2015-12-10,SJZB,AD,-10.68306,-58.645,277,N,N,D,YES,CASTANHEIRA / Vale do Tucanã,MT
AIRPORT21JUL16.2143,MULTIPOINT ((-60.54822413088365 -10.427817278458283)),2015-12-10,SWMQ,AD,-10.42861,-60.54778,128,N,N,D,YES,ARIPUANÃ / Faz. Muiraquitã,MT
AIRPORT21JUL16.2144,MULTIPOINT ((-48.3381966507763 -23.78400399614938)),2015-12-10,SDYB,AD,-23.78444,-48.33833,668,Y,N,C,YES,ITAPETININGA / Faz. São José do Bom Retiro,SP
AIRPORT21JUL16.2145,MULTIPOINT ((-43.74796762471264 -22.862302530611835)),2015-12-10,SILH,HP,-22.86278,-43.74833,23,Y,,C,YES,ITAGUAÍ / HELPN Lytorânea,RJ
AIRPORT21JUL16.2146,MULTIPOINT ((-44.668032647322 -11.407287121343957)),2015-12-10,SWBZ,AD,-11.40806,-44.66833,461,P,,C,YES,SANTA RITA DE CÁSSIA / Projeto Brasil I,BA
AIRPORT21JUL16.2147,MULTIPOINT ((-47.07202278865119 -22.935366148481144)),2015-12-10,SSQW,HP,-22.93583,-47.07222,753,Y,N,C,YES,CAMPINAS / HELPN Royal Palm Plaza,SP
AIRPORT21JUL16.2148,MULTIPOINT ((-70.7836845880199 -8.153863483189998)),2016-02-04,SBTK,AD,-8.15472,-70.78278,197,N,N,E,NO,TARAUACÁ / Tarauacá,AC
AIRPORT21JUL16.2149,MULTIPOINT ((-72.8065449127285 -5.129362475726953)),2016-02-04,SWJV,AD,-5.13028,-72.80556,120,N,N,E,NO,ATALAIA DO NORTE / Palmeiras do Javari,AM
AIRPORT21JUL16.2150,MULTIPOINT ((-67.31297575516714 -8.832772663640055)),2016-02-04,SWNK,AD,-8.83361,-67.31222,120,N,N,E,NO,BOCA DO ACRE / Novo Campo,AM
AIRPORT21JUL16.2151,MULTIPOINT ((-69.88391963063799 -6.6366154829593755)),2016-02-04,SWEI,AD,-6.6375,-69.88306,126,N,N,E,NO,EIRUNEPÉ / Eirunepé,AM
AIRPORT21JUL16.2152,MULTIPOINT ((-64.78452535506491 -7.249412766676389)),2016-02-04,SWLB,AD,-7.25028,-64.78389,58,N,N,E,NO,LÁBREA / Lábrea,AM
AIRPORT21JUL16.2153,MULTIPOINT ((-65.70818006780341 -8.333321392404333)),2016-02-04,SDDS,AD,-8.33417,-65.7075,99,N,,E,YES,LÁBREA/ Faz. Scheffer,AM
AIRPORT21JUL16.2154,MULTIPOINT ((-68.95915244192261 -3.468506027251736)),2016-02-04,SDCG,AD,-3.46944,-68.95833,102,N,N,E,NO,SÃO PAULO DE OLIVENÇA / Senadora Eunice Micheles,AM
AIRPORT21JUL16.2155,MULTIPOINT ((-71.56649024128578 -4.527687620139011)),2016-02-04,SWEE,AD,-4.52861,-71.56556,30,N,N,E,NO,ATALAIA DO NORTE / Estirão do Equador,AM
AIRPORT21JUL16.2156,MULTIPOINT ((-50.651648565401544 -8.540560645252292)),2016-02-04,SSZO,AD,-8.54139,-50.65167,280,N,N,C,YES,SANTA MARIA DAS BARREIRAS / Santa Marta I,PA
AIRPORT21JUL16.2157,MULTIPOINT ((-43.81882578932118 -11.659514073150046)),2016-02-04,SDQJ,AD,-11.66028,-43.81917,424,P,,C,YES,WANDERLEY / Faz. Santo Antônio da Serra do Boqueirão,BA
AIRPORT21JUL16.2158,MULTIPOINT ((-53.58734572503399 -16.901867246550992)),2016-02-04,SJOM,AD,-16.9025,-53.58722,854,P,,D,YES,ALTO GARÇAS / Faz. São Jerônimo,MT
AIRPORT21JUL16.2159,MULTIPOINT ((-43.843249948672245 -22.9411939511882)),2016-07-21,SIUN,HP,-22.94167,-43.84361,10,N,N,E,YES,ITAGUAÍ / HELPN Helicentro Porto Itaguaí,RJ
AIRPORT21JUL16.2160,MULTIPOINT ((-53.84902967489435 -22.29507076970244)),2016-05-26,SSXW,AD,-22.29556,-53.84889,364,N,,D,YES,IVINHEMA / Faz. São Paulo,MS
AIRPORT21JUL16.2161,MULTIPOINT ((-53.35261509771244 -21.24087405056137)),2016-05-26,SDPZ,AD,-21.24139,-53.3525,363,N,N,D,YES,RIBAS DO RIO PARDO / Sossego,MS
AIRPORT21JUL16.2162,MULTIPOINT ((-53.19678007228153 -28.108586054828837)),2016-05-26,SDRX,AD,-28.10889,-53.19667,601,N,,C,YES,CHAPADA / Faz. do Cedro,RS
AIRPORT21JUL16.2163,MULTIPOINT ((-46.69589169342487 -23.61066355287519)),2016-05-26,SSWD,HP,-23.61111,-46.69611,813,Y,N,C,YES,SÃO PAULO / HELPN Plaza II,SP
AIRPORT21JUL16.2164,MULTIPOINT ((-39.27112052448225 -7.21747026730125)),2016-05-26,SBJU,AD,-7.21833,-39.27167,424,Y,Y,C,NO,JUAZEIRO DO NORTE / Orlando Bezerra de Menezes,CE
AIRPORT21JUL16.2166,MULTIPOINT ((-43.95659612857982 -19.945553652296)),2016-05-26,SNOO,HP,-19.94611,-43.95694,1062,Y,N,C,YES,BELO HORIZONTE / HELPN Edifício The One,MG
AIRPORT21JUL16.2167,MULTIPOINT ((-43.095992548924784 -22.20672639035991)),2016-05-26,SDOZ,HP,-22.20722,-43.09639,487,Y,N,K,YES,AREAL / HELPN Faz. Laranjeiras,RJ
AIRPORT21JUL16.2168,MULTIPOINT ((-39.139991747324736 -13.730942113550713)),2016-05-26,SNZW,AD,-13.73167,-39.14056,7,N,N,C,NO,ITUBERÁ / Ituberá,BA
AIRPORT21JUL16.2169,MULTIPOINT ((-48.37264585100141 -20.59529996148221)),2016-05-26,SJQJ,AD,-20.59583,-48.37278,494,N,N,C,YES,JABORANDI / Faz. Fortaleza,SP
